,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category
1238,14713,8.04,Kamisama Kiss,TV,13,2012,TMS Entertainment,Manga,24 min. per ep.,492.0,299,435195,10294,17990,304918,9016,9142,94129,Comedy, Demons, Romance, Fantasy, Shoujo,PG-13,2012-10-02,2012-12-25,2012,2012,84 days,-0.24108010315826686,medium
1239,14719,8.06,JoJo's Bizarre Adventure,TV,26,2012,David Production,Manga,24 min. per ep.,463.0,74,965386,26522,74784,714621,36732,26316,112933,Action, Adventure, Vampire, Shounen,,R,2012-10-06,2013-04-06,2012,2013,182 days,-0.26553544879729135,very_long
1240,14741,7.77,"Love, Chunibyo & Other Delusions!",TV,12,2012,Kyoto Animation,Light novel,24 min. per ep.,878.0,77,955524,17973,38186,691636,21667,23477,180558,Slice of Life, Comedy, Romance, School,,PG-13,2012-10-04,2012-12-20,2012,2012,77 days,-0.2407885762119946,short
1241,14749,7.06,Oreshura,TV,13,2013,A-1 Pictures,Light novel,23 min. per ep.,3407.0,335,399161,1941,18674,269459,8757,12369,89902,Comedy, Harem, School,,,PG-13,2013-01-06,2013-03-31,2013,2013,84 days,-0.16484021832611848,medium
1242,14811,7.35,GJ Club,TV,12,2013,Doga Kobo,Light novel,23 min. per ep.,2125.0,1014,147283,707,6956,84933,4142,4977,46275,Comedy, School,,,,PG-13,2013-01-10,2013-03-28,2013,2013,77 days,-0.13743960074565684,short
1243,14813,8.07,My Teen Romantic Comedy SNAFU,TV,13,2013,Brain's Base,Light novel,24 min. per ep.,458.0,72,971934,29425,40893,726380,16527,13524,174610,Slice of Life, Comedy, Romance, School,,PG-13,2013-04-05,2013-06-28,2013,2013,84 days,-0.26768988424874296,medium
1244,14829,7.11,Fate/Kaleid Liner Prisma Illya,TV,10,2013,SILVER LINK.,Manga,24 min. per ep.,3165.0,684,213640,974,10428,120976,6238,8572,67426,Action, Comedy, Fantasy,,,PG-13,2013-07-13,2013-09-14,2013,2013,63 days,-0.1435342910927536,short
1245,14833,7.31,Maoyu ~ Archenemy & Hero,TV,12,2013,Arms,Light novel,23 min. per ep.,2309.0,382,355361,1099,22804,212430,13920,16021,90186,Adventure, Demons, Fantasy,,,PG-13,2013-01-05,2013-03-30,2013,2013,84 days,-0.17902260697995911,medium
1246,14921,6.58,Red Data Girl,TV,12,2013,P.A. Works,Novel,24 min. per ep.,5504.0,1441,96718,236,5483,52541,4296,8629,25769,Fantasy, Magic,,,,PG-13,2013-04-04,2013-06-20,2013,2013,77 days,-0.052340681811715146,short
1247,14941,7.66,AKB0048:Next Stage,TV,13,2013,Satelight,Original,23 min. per ep.,1125.0,2870,32155,336,1004,23550,756,832,6013,Music, Sci-Fi,,,,PG-13,2013-01-06,2013-03-31,2013,2013,84 days,-0.02941963556633694,medium
1248,14967,7.4,Haganai:I don't have many friends NEXT,TV,12,2013,AIC Build,Light novel,24 min. per ep.,1892.0,311,424995,1180,11766,348392,5710,5397,53730,Harem, Slice of Life, Romance, School,,R+,2013-01-11,2013-03-29,2013,2013,77 days,-0.19045800866942753,short
1249,15045,5.22,Lychee Light Club,TV,8,2012,Kachidoki Studio,Manga,3 min. per ep.,10308.0,4851,10305,19,384,5883,241,1080,2717,Comedy, Drama, Psychological, Romance,,PG-13,2012-10-02,2012-11-20,2012,2012,49 days,0.28369504602755696,short
1250,15051,7.44,Love Live! School Idol Project,TV,13,2013,Sunrise,Other,23 min. per ep.,1771.0,379,355325,8076,17298,228525,9435,12473,87594,Music, Slice of Life,,,,PG-13,2013-01-06,2013-03-31,2013,2013,84 days,-0.19164052289679814,medium
1251,15085,6.07,Amnesia,TV,12,2013,Brain's Base,Visual novel,23 min. per ep.,7909.0,609,237307,1097,9479,155335,6401,20692,45400,Harem, Mystery, Fantasy, Josei,,PG-13,2013-01-07,2013-03-25,2013,2013,77 days,-0.07458080745241188,short
1252,15109,7.3,Cuticle Detective Inaba,TV,12,2013,Zexcs,Manga,23 min. per ep.,2345.0,1598,84572,395,5188,39448,3597,6501,29838,Action, Mystery, Supernatural, Shounen,,PG-13,2013-01-04,2013-03-22,2013,2013,77 days,-0.09282775690998325,short
1253,15119,6.33,Senran Kagura:Ninja Flash,TV,12,2013,Artland,Game,24 min. per ep.,6725.0,1309,109324,274,8293,42317,4648,8327,45739,Action, Comedy, School,,,PG-13,2013-01-06,2013-03-24,2013,2013,77 days,-0.04375134420855189,short
1254,15125,6.61,Teekyu,TV,12,2012,MAPPA,Manga,2 min. per ep.,5315.0,2127,54606,203,2191,30036,1078,1872,19429,Comedy, School, Sports,,,PG-13,2012-10-07,2012-12-23,2012,2012,77 days,-0.006422407828938836,short
1255,15225,7.24,"The ""Hentai"" Prince and the Stony Cat.",TV,12,2013,J.C.Staff,Light novel,24 min. per ep.,2599.0,359,371534,1727,16742,257556,9464,12162,75610,Harem, Comedy, Romance, School,,PG-13,2013-04-13,2013-06-29,2013,2013,77 days,-0.1759163978091667,short
1256,15313,6.23,Wooser's Hand-to-Mouth Life,TV,12,2012,SANZIGEN,Web manga,4 min. per ep.,7231.0,4796,10624,24,451,6330,364,750,2729,Slice of Life, Comedy,,,,G,2012-10-03,2012-12-19,2012,2012,77 days,0.20772152360607796,short
1257,15315,7.56,"Problem children are coming from another world, aren't they?",TV,10,2013,Diomedéa,Light novel,23 min. per ep.,1395.0,277,463838,3720,17602,332808,8950,10341,94137,Action, Comedy, Supernatural,,,PG-13,2013-01-12,2013-03-16,2013,2013,63 days,-0.20540182213237887,short
1258,15377,6.77,Samurai Bride,TV,12,2013,Arms,Light novel,24 min. per ep.,4599.0,1608,83664,95,4276,51340,2608,3398,22042,Action, Ecchi, Harem, Samurai, School,R+,2013-04-05,2013-06-21,2013,2013,77 days,-0.054148264703498684,short
1259,15379,7.23,The Troubled Life of Miss Kotoura,TV,12,2013,AIC Classic,4-koma manga,23 min. per ep.,2655.0,546,266724,1045,12978,178736,7236,9724,58050,Comedy, Drama, School,,,PG-13,2013-01-11,2013-03-29,2013,2013,77 days,-0.16179987380439537,short
